"REF_SECTION_CODE","REF_QUESTION_CODE","DISPLAY_SORT","MANDATORY_IND","REF_SECTION_QUESTION","ANSWERS","INPUT_TYPE","MAXLENGTH","LOGICALPAGE","ALLOWNULL","REF_ASS_VERSION_CODE","VERSION_NUMBER"
"ROSH","R2.2","50","Y","Are there any concerns in relation to children","Yes/YES|No/NO|Don't Know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R2.2.1","10","N","Should contact be made with social services","Yes/YES|No/NO","SELECT",,"2",,"LAYER1","2"
"ROSH","R3.1","50","Y","Risk of suicide","Yes/YES|No/NO|Don't Know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R3.2","60","Y","Risk of self-harm","Yes/YES|No/NO|Don't Know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R3.3","70","Y","Coping in custody / hostel setting","Yes/YES|No/NO|Don't Know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R3.4","80","Y","Vulnerability","Yes/YES|No/NO|Don't know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R4.1","90","Y","Escape / abscond","Yes/YES|No/NO|Don't Know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R4.2","100","Y","Control issues / disruptive behaviour","Yes/YES|No/NO|Don't Know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R4.3","110","Y","Concerns in respect of breach of trust","Yes/YES|No/NO|Don't Know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R4.4","120","Y","Risks to other prisoners","Yes/YES|No/NO|Don't know/DK","SELECT",,"2",,"LAYER1","2"
"ROSH","R5.1","130","Y","Is there anything else about the offender that leads you to consider that a full analysis should be completed.  If YES, give details below","Yes/YES|No/NO","SELECT",,"3",,"LAYER1","2"
"ROSH","R5.1.t","20","N"," ",,"TEXTAREA",,"3",,"LAYER1","2"
"ROSH","R5.2","140","N","You have ticked YES to one of the questions above, you must now complete the associated section(s) of the full analysis to which the form directs you unless, in your judgement, there is a sound reason for not doing so, that you have set out below. ",,"TEXTAREA",,"3",,"LAYER1","2"
"ROSH","R5.2a",,"N","Please provide the reason for not completing a full risk analysis",,"TEXTAREA",,"3",,"LAYER1","2"
"ROSH","R5.2b","135","N","In your professional opinion, do you consider it appropriate to not undertake a full risk of harm analysis?","No/NO|Yes/YES","SELECT",,"3","N","LAYER1","2"
"ROSHFULL","FA1","10","N","Offence details",,"TEXTAREA",,,,"LAYER1","2"
"ROSHFULL","FA1.1","10","N","What exactly did s/he do",,"LINK",,,,"LAYER1","2"
"ROSHFULL","FA10","100","N","How did s/he do it (was there any pre planning, use of weapon, tool etc)",,"TEXTAREA",,"2",,"LAYER1","2"
"ROSHFULL","FA11","110","N","Who were the victims (were there concerns about targeting, type, age, race or vulnerability of victim)",,"TEXTAREA",,"2",,"LAYER1","2"
"ROSHFULL","FA12","120","N","Was anyone else present / involved",,"TEXTAREA",,"2",,"LAYER1","2"
"ROSHFULL","FA13","130","N","Why did s/he do it (motivation and triggers)",,"TEXTAREA",,"2",,"LAYER1","2"
"ROSHFULL","FA14","140","N","Sources of information",,"TEXTAREA",,"2",,"LAYER1","2"
"ROSHFULL","FA15","150","N","a) presents a risk to identifiable children","Yes/YES|No/NO","SELECT",,"3",,"LAYER1","2"
"ROSHFULL","FA16","10","N","b) is involved in a situation where there are identifiable children who are considered to be at risk from others","Yes/YES|No/NO","SELECT",,"3",,"LAYER1","2"
"ROSHFULL","FA17","20","N","If 'a' give details of relevant factors and situations, if not covered previously.If 'b' indicate the offender's involvement in the family.  Say how, when and from whom the child(ren) are believed to be at risk.  Specify the nature of the concern.",,"TEXTAREA",,"3",,"LAYER1","2"
"ROSHFULL","FA18","180","N","Insert details of child(ren)",,"LINK",,"4",,"LAYER1","2"
"ROSHFULL","FA2","20","N","Where and when did s/he do it",,"TEXTAREA",,,,"LAYER1","2"
"ROSHFULL","FA26","260","N","Have there been any child protection conferences or 'looked after children' reviews","Yes/YES|No/NO|Don't know/DK","SELECT",,"5",,"LAYER1","2"
"ROSHFULL","FA26.t","20","N","Give details of child protection conferences, child protection decisions and looked after children review dates - if applicable",,"TEXTAREA",,"5",,"LAYER1","2"
"ROSHFULL","FA27","270","N"," Local Authority key worker name, address and telephone number, if applicable",,"TEXTAREA",,"5",,"LAYER1","2"
"ROSHFULL","FA28","280","N","Other agencies and personnel involved, if applicable",,"TEXTAREA",,"5",,"LAYER1","2"
"ROSHFULL","FA29","290","N","Additional information",,"TEXTAREA",,"5",,"LAYER1","2"
"ROSHFULL","FA3","30","N","How did s/he do it (was there any pre planning, use of weapon, tool etc)",,"TEXTAREA",,,,"LAYER1","2"
"ROSHFULL","FA30","300","N","Date child protection issues came to assessor's attention",,"DATE",,"5",,"LAYER1","2"
"ROSHFULL","FA31","10","N","Are there any current concerns about suicide","Yes/YES|No/NO|Don't know/DK","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA32","10","N","Are there any current concerns about self-harm","Yes/YES|No/NO|Don't know/DK","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA33","30","N","Describe circumstances, relevant issues and needs regarding current concerns (refer to sections 1-12 for indicators, particularly Section 10)",,"TEXTAREA",,"6",,"LAYER1","2"
"ROSHFULL","FA34","340","N","Is there a current ACCT (Assessment, Care in Custody and Teamwork?)","Yes/YES|No/NO","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA35","350","N","Book number",,"TEXT","32","6",,"LAYER1","2"
"ROSHFULL","FA36","360","N","Have there been any concerns about suicide in the past","Yes/YES|No/NO|Don't know/DK","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA37","370","N","Have there been any concerns about self-harm in the past","Yes/YES|No/NO|Don't know/DK","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA38","380","N","Describe circumstances, relevant issues and needs (if any).  Say when the concerns arose.",,"TEXTAREA",,"6",,"LAYER1","2"
"ROSHFULL","FA39","390","N","Are there any current concerns about coping in custody","Yes/YES|No/NO|N/A/N/A","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA4","40","N","Who were the victims (are there concerns about targeting, type, age, race of vulnerability or victim)",,"TEXTAREA",,,,"LAYER1","2"
"ROSHFULL","FA40","10","N","Are there any current concerns about coping in hostel settings","Yes/YES|No/NO|N/A/N/A","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA41","20","N","Describe circumstances, relevant issues and needs",,"TEXTAREA",,"6",,"LAYER1","2"
"ROSHFULL","FA42","420","N","Are there any previous concerns about coping in custody","Yes/YES|No/NO|Don't know/DK","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA43","10","N","Are there any previous concerns about coping in hostel settings","Yes/YES|No/NO|Don't Know/DK","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA44","20","N","Describe circumstances, relevant issues and needs",,"TEXTAREA",,"6",,"LAYER1","2"
"ROSHFULL","FA45","450","N","Are there any current concerns about vulnerability (eg victimisation, being bullied, assaulted, exploited)","Yes/YES|No/NO","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA45.t","20","N","Describe circumstances, relevant issues and needs",,"TEXTAREA",,"6",,"LAYER1","2"
"ROSHFULL","FA47","470","N","Have there been any previous concerns about vulnerability (eg victimisation, being bullied, assaulted, exploited)","Yes/YES|No/NO|Don't know/DK","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA47.t","20","N","Describe circumstances, relevant issues and needs",,"TEXTAREA",,"6",,"LAYER1","2"
"ROSHFULL","FA49","490","N"," Do any of the above (R8.1 - 8.3) indicate a risk of serious harm to others.  If YES complete the risk of serious harm analysis, R6","Yes/YES|No/NO","SELECT",,"6",,"LAYER1","2"
"ROSHFULL","FA49.t","20","N","Describe circumstances, relevant issues and needs",,"TEXTAREA",,"6",,"LAYER1","2"
"ROSHFULL","FA5","50","N","Was anyone else present / involved",,"TEXTAREA",,,,"LAYER1","2"
"ROSHFULL","FA51","510","N","Are there any current concerns about escape and abscond","Yes/YES|No/NO|N/A/N/A","SELECT",,"7",,"LAYER1","2"
"ROSHFULL","FA51.t","20","N","Describe circumstances and relevant issues",,"TEXTAREA",,"7",,"LAYER1","2"
"ROSHFULL","FA53","530","N","Are there any previous concerns about escape and abscond","Yes/YES|No/NO|Don't know/DK","SELECT",,"7",,"LAYER1","2"
"ROSHFULL","FA53.t","20","N","Describe circumstances and relevant issues",,"TEXTAREA",,"7",,"LAYER1","2"
"ROSHFULL","FA55","550","N","Are there any current concerns about control and disruptive behaviour","Yes/YES|No/NO","SELECT",,"7",,"LAYER1","2"
"ROSHFULL","FA55.t","20","N","Describe circumstances and relevant issues",,"TEXTAREA",,"7",,"LAYER1","2"
"ROSHFULL","FA56","560","N","Are there any previous concerns about control and disruptive behaviour","Yes/YES|No/NO|Don't know/DK","SELECT",,"7",,"LAYER1","2"
"ROSHFULL","FA56.t","20","N","Describe circumstances and relevant issues",,"TEXTAREA",,"7",,"LAYER1","2"
"ROSHFULL","FA58","580","N","Are there any current concerns about breach of trust","Yes/YES|No/NO","SELECT",,"7",,"LAYER1","2"
"ROSHFULL","FA58.t","20","N","Describe circumstances and relevant issues",,"TEXTAREA",,"7",,"LAYER1","2"
"ROSHFULL","FA6","60","N","Why did s/he do it (motivation and triggers)",,"TEXTAREA",,,,"LAYER1","2"
"ROSHFULL","FA60","600","N","Are there any previous concerns about breach of trust","Yes/YES|No/NO|Don't know/DK","SELECT",,"7",,"LAYER1","2"
"ROSHFULL","FA60.t","20","N","Describe circumstances and relevant issues",,"TEXTAREA",,"7",,"LAYER1","2"
"ROSHFULL","FA7","70","N","Sources of information",,"TEXTAREA",,,,"LAYER1","2"
"ROSHFULL","FA8","80","N","What exactly did s/he do",,"TEXTAREA",,"2",,"LAYER1","2"
"ROSHFULL","FA9","90","N","Where and when did s/he do it",,"TEXTAREA",,"2",,"LAYER1","2"
"ROSHFULL","R8.1.1","310","N","Suicide/Self-harm",,"NONE",,"6",,"LAYER1","2"
"ROSHSUM","SUM1","10","N","Who is at risk",,"TEXTAREA",,,,"LAYER1","2"
"ROSHSUM","SUM2","20","N","What is the nature of the risk",,"TEXTAREA",,,,"LAYER1","2"
"ROSHSUM","SUM3","30","N","When is the risk likely to be greatest
Consider the timescale and indicate whether risk is immediate or not.  Consider the risks in custody as well as on release.
",,"TEXTAREA",,,,"LAYER1","2"
"ROSHSUM","SUM4","40","N","What circumstances are likely to increase risk
Describe factors, actions, events which might increase level of risk, now and in the future
",,"TEXTAREA",,,,"LAYER1","2"
"ROSHSUM","SUM5","50","N","What factors are likely to reduce the risk
Describe factors, actions, and events which may reduce or contain the level of risk. What has previously stopped him / her?  ",,"TEXTAREA",,,,"LAYER1","2"
"ROSHSUM","SUM6","60","N","Risk",,,,,,"LAYER1","2"
"ROSHSUM","SUM6.1.1","10","N","Risk in Community","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM6.1.2","20","N","Risk in Custody","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM6.2.1","10","N","Risk in Community","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM6.2.2","20","N","Risk in Custody","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM6.3.1","10","N","Risk in Community","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM6.3.2","20","N","Risk in Custody","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM6.4.1","10","N","Risk in Community","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM6.4.2","20","N","Risk in Custody","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM6.5.1","10","N","Dummy",,"BLANK",,,,"LAYER1","2"
"ROSHSUM","SUM6.5.2","20","N","Risk in Custody","Low/L|Medium/M|High/H|Very High/V","SELECT",,,,"LAYER1","2"
"ROSHSUM","SUM7","70","N","Current concerns about:",,"PLACEHOLDER",,,,"LAYER1","2"
"ROSHSUM","SUM8","80","N","If necessary record the details of any key documents or reports used in this analysis:",,"TEXTAREA",,,,"LAYER1","2"
"ROSHSUM","sum6.1","10","N","Children",,,,,,"LAYER1","2"
"ROSHSUM","sum6.2","20","N","Public",,,,,,"LAYER1","2"
"ROSHSUM","sum6.3","30","N","Known adult",,,,,,"LAYER1","2"
"ROSHSUM","sum6.4","40","N","Staff",,,,,,"LAYER1","2"
"ROSHSUM","sum6.5","50","N","Prisoners",,,,,,"LAYER1","2"
"ROSHSUMM_MIG","MIG.1","5","N","RFTeamCode - RF Team Code",,"TEXT",,,,"LAYER1","2"
"ROSHSUMM_MIG","MIG.2","10","N","RF_Team - RF Team Name",,"TEXT",,,,"LAYER1","2"
"ROSHSUMM_MIG","MIG.3","15","N","RFOffCode - RF Office Code",,"TEXT",,,,"LAYER1","2"
"ROSHSUMM_MIG","MIG.4","20","N","RF_ProbOff - RF Office Name",,"TEXT",,,,"LAYER1","2"
"ROSHSUMM_MIG","MIG.5","25","N","PreferredCSROHFA - Preferred RoSHFA Countersigner",,"TEXT",,,,"LAYER1","2"
"ROSH_MIG","MIG.11","15","N","RSOffCode - Risk Screening Office Code",,"TEXT",,,,"LAYER1","2"
"ROSH_MIG","MIG.26","0","N","Represents the Preferred Countersigner for RoSH Screening",,,,,,"LAYER1","2"
"ROSH_MIG","MIG.8","5","N","ROHScreenCompletedOffice -
Office where RoSH was completed",,"TEXT",,,,"LAYER1","2"
"ROSH_MIG","MIG.9","10","N","ROHScreenCompletedTeam - Team where RoSH was completed",,"TEXT",,,,"LAYER1","2"
"RSR","1.39","154","N","Have you completed an Offender interview?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RSR","RA","155","N","Are you completing a Risk assessment?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQ28","140","N","28. Do you think you are likely to offend in future?","Definitely not/0|Unlikely/1|Quite likely/2|Very likely/3","SELECT",,,,"LAYER1","2"
"SAQ","SAQA","2","N","Did the offender need help to complete the form?","No/NO|Yes/YES","SELECT",,,,"LAYER1","2"
"SAQ","SAQB","4","N","Date Self Assessment Questionnaire Completed",,"DATE",,,,"LAYER1","2"
"SAQ","SAQC","5","N","Are any of these a problem for you?",,,,,,"LAYER1","2"
"SAQ","SAQC1","5","N","1. Finding a good place to live",,,,,,"LAYER1","2"
"SAQ","SAQC1.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC1.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC10","50","N","10. Taking drugs",,,,,,"LAYER1","2"
"SAQ","SAQC10.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC10.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC11","55","N","11. Drinking too much alcohol",,,,,,"LAYER1","2"
"SAQ","SAQC11.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC11.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC12","60","N","12. Losing my temper",,,,,,"LAYER1","2"
"SAQ","SAQC12.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC12.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC13","65","N","13. Doing things on the spur of the moment",,,,,,"LAYER1","2"
"SAQ","SAQC13.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC13.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC14","70","N","14. Repeating the same mistakes",,,,,,"LAYER1","2"
"SAQ","SAQC14.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC14.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC15","75","N","15. Getting violent when annoyed",,,,,,"LAYER1","2"
"SAQ","SAQC15.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC15.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC16","80","N","16. Reading, writing, spelling and numbers",,,,,,"LAYER1","2"
"SAQ","SAQC16.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC16.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC17","85","N","17. Getting qualifications",,,,,,"LAYER1","2"
"SAQ","SAQC17.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC17.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC18","90","N","18. Getting a job",,,,,,"LAYER1","2"
"SAQ","SAQC18.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC18.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC19","95","N","19. Keeping a job",,,,,,"LAYER1","2"
"SAQ","SAQC19.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC19.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC2","10","N","2. Understanding other people's feelings",,,,,,"LAYER1","2"
"SAQ","SAQC2.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC2.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC20","100","N","20. Managing money, dealing with debts",,,,,,"LAYER1","2"
"SAQ","SAQC20.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC20.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC21","105","N","21. Getting on with my husband / wife / partner",,,,,,"LAYER1","2"
"SAQ","SAQC21.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC21.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC22","110","N","22. Looking after my children",,,,,,"LAYER1","2"
"SAQ","SAQC22.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC22.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC23","115","N","23. Worrying about things",,,,,,"LAYER1","2"
"SAQ","SAQC23.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC23.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC24","120","N","24. Making good decisions",,,,,,"LAYER1","2"
"SAQ","SAQC24.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC24.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC25","125","N","25. Feeling depressed",,,,,,"LAYER1","2"
"SAQ","SAQC25.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC25.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC26","130","N","26. Feeling stressed",,,,,,"LAYER1","2"
"SAQ","SAQC26.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC26.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC27","135","N","27. Not having a partner",,,,,,"LAYER1","2"
"SAQ","SAQC27.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC27.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC3","15","N","3. Keeping to my plans",,,,,,"LAYER1","2"
"SAQ","SAQC3.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC3.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC4","20","N","4. Dealing with people in authority",,,,,,"LAYER1","2"
"SAQ","SAQC4.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC4.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC5","25","N","5. Gambling",,,,,,"LAYER1","2"
"SAQ","SAQC5.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC5.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC6","30","N","6. Mixing with bad company",,,,,,"LAYER1","2"
"SAQ","SAQC6.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC6.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC7","35","N","7. Being bored",,,,,,"LAYER1","2"
"SAQ","SAQC7.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC7.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC8","40","N","8. Being lonely",,,,,,"LAYER1","2"
"SAQ","SAQC8.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC8.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC9","45","N","9. Going to places which cause me trouble",,,,,,"LAYER1","2"
"SAQ","SAQC9.1","5","N","No/Yes","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQC9.2","10","N","Is this problem linked to your offending?","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"SAQ","SAQD","145","N","Why do you think this?",,"TEXTAREA",,,,"LAYER1","2"
