Re-ordered Oral & Short-form PSR assessment content v2.2 OASys OGRS & RSR only,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,,,,,,,,,,
RSR match with existing ARN questions,,,,,,,,,,,,,,,,,,,,,,,,
New RSR questions,,,,,,,,,,,,,,,,,,,,,,,,
New ROSHA questions,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Question or information,Content ref.,Short-format PSR (Delius),Offender Group Reconviction Scale (OGRS),OASys Fast Delivery Report (FDR),Short-format PSR: printed template,Pre-sentence report (Template for reports delivered orally),"Risk of Serious Recidivism (RSR)
","Current question wording, inc. variations",Proposed question wording,Error summary,Error message,Reason for wording choice or change,Input type,"Business logic
(note that items marked out-of-line will show elsewhere on the page)",Notes,Spec ref.,OASys ref.,Value passed from OASys to RSR calculation,Mandatory for minimum OASys,Potentially exposed to changes to answer reference data?,Pre-populated?,Type (assumes new case),Taxonomy classification,Validated OASys Field
Been a conditionally discharged patient subject to a restriction order under Section 41 MHA 1983,156.1,,,,,,,Been a conditionally discharged patient subject to a restriction order under Section 41 MHA 1983,Been a conditionally discharged patient subject to a restriction order under Section 41 MHA 1983,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.10.2,,,,N,Q,Offence analysis,x
Been a stalker,158.1,,,,,,,Been a stalker,Been a stalker,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.12.2,,,,N,Q,Offence analysis,x
Displayed obsessive behaviour linked to offending,159.1,,,,,,,Displayed obsessive behaviour linked to offending,Displayed obsessive behaviour linked to offending,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.13.2,,,,N,Q,Offence analysis,x
Been involved in bizarre or ritualistic aspects linked to offending,160.1,,,,,,,Been involved in bizarre or ritualistic aspects linked to offending,Been involved in bizarre or ritualistic aspects linked to offending,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.14.2,,,,N,Q,Offence analysis,x
Displayed any offence-related behaviour observed in a custodial setting,161.1,,,,,,,Displayed any offence-related behaviour observed in a custodial setting,Displayed any offence-related behaviour observed in a custodial setting,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.15.2,,,,N,Q,Offence analysis,x
"Displayed any inappropriate behaviour towards members of staff, visitors or prisoners",162.1,,,,,,,"Displayed any inappropriate behaviour towards members of staff, visitors or prisoners","Displayed any inappropriate behaviour towards members of staff, visitors or prisoners",N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.16.2,,,,N,Q,Offence analysis,x
"Established links or associations, whilst in custody, which increase risk of serious harm",163.1,,,,,,,"Established links or associations, whilst in custody, which increase risk of serious harm","Established links or associations, whilst in custody, which increase risk of serious harm",N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.17.2,,,,N,Q,Offence analysis,x
Committed an offence involving excessive use of violence or sadistic violence,163.2,,,,,,,Committed an offence involving excessive use of violence or sadistic violence,Committed an offence involving excessive use of violence or sadistic violence,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.18.2,,,,N,Q,Offence analysis,x
None of the above apply,164.1,,,,,,,None of the above apply,None of the above apply,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.19.2,,X,,N,Q,Offence analysis,x
"Is the offender, now or on release, likely to live with, or have frequent contact with, any child who is on the child protection register or is being looked after by the local authority.",165.1,,,,,,,"Is the offender, now or on release, likely to live with, or have frequent contact with, any child who is on the child protection register or is being looked after by the local authority.","Is the individual, now or on release, likely to live with, or have frequent contact with, any child who is on the child protection register or is being looked after by the local authority.","Select yes, no or don't know","Select yes, no or don't know",Avoid use of 'offender' which introduces cognitive bias,"Yes
No
Don't know",If Y then sections S15 and S16 must be completed ,,SC.4,R2.1,,X,,N,Q,Risk to children,x
Are there any concerns in relation to children,166.1,,,,,,,Are there any concerns in relation to children,Are there any concerns in relation to children?,"Select yes, no or don't know (concerns in relation to children)","Select yes, no or don't know",Consistency,"Yes
No
Don't know","If Y then section S13 and S14 must be completed unless answer to question 180.1 is 'Yes'.
If Y then sections S15 and S16 must also be completed if the identity of the children is known unless the answer to question 180.1 is 'Yes'. ",If Y this would benefit from us adding a conditional question 'Are the identities of any of the children known?' to determine whether sections S15 and S16 are shown.,SC.5,R2.2,,X,,N,Q,Risk to children,x
Should contact be made with social services?,167.1,,,,,,,Should contact be made with social services?,Should contact be made with social services?,"Select yes, no or don't know (contacting social services)","Select yes, no or don't know",Consistency,"Yes
No
Don't know",None,,SC.5,R2.2.1,,,,N,Q,Risk to children,x
Risk to the individual screening,S11,,,,,,,,,,,,,,,,,,,,,,,
From what you know about this offender have there been or are there currently any concerns in relation to,168.1,,,,,,,From what you know about this offender have there been or are there currently any concerns in relation to,From what you know about this individual have there been or are there currently any concerns in relation to,,,Avoid use of 'offender' which introduces cognitive bias,,None,,,HEADING,,,,Y,I,Risks to the individual,Heading
Risk of suicide,169.1,,,,,,,Risk of suicide,Risk of suicide,"Select yes, no or don't know (risk of suicide)","Select yes, no or don't know",Consistency,"Yes
No
Don't know","If Y then the user must complete section S17 questions
218.1
220.1",,SC.6,R3.1,,X,,N,Q,Suicide and/or self-harm,x
Risk of self-harm,170.1,,,,,,,Risk of self-harm,Risk of self-harm,"Select yes, no or don't know (risk of self-harm)","Select yes, no or don't know",Consistency,"Yes
No
Don't know","If Y then the user must complete section S17 questions
219.1
221.1",,SC.7,R3.2,,X,,N,Q,Suicide and/or self-harm,x
Coping in custody/hostel setting,171.1,,,,,,,Coping in custody or a hostel setting,Coping in custody or a hostel setting,"Select yes, no or don't know (coping in custody or a hostel setting)","Select yes, no or don't know",Consistency,"Yes
No
Don't know","If Y then the user must complete questions
222.1
223.1
224.1
225.1
226.1
227.1",,SC.8,R3.3,,X,,N,Q,Coping in custody/hostel setting,x
Vulnerability,172.1,,,,,,,Vulnerability,Vulnerability,"Select yes, no or don't know (vulnerability)","Select yes, no or don't know",Consistency,"Yes
No
Don't know","If Y then the user must complete section S19 questions
228.1
229.1
230.1
231.1",,SC.9,R3.4,,X,,N,Q,Vulnerability,x
Other risks screening,S12,,,,,,,,,,,,,,,,,,,,,,,
From what you know about this offender have there been or are there currently any concerns in relation to,173.1,,,,,,,From what you know about this offender have there been or are there currently any concerns in relation to,From what you know about this individual have there been or are there currently any concerns in relation to,,,Avoid use of 'offender' which introduces cognitive bias,,None,,,HEADING,,,,Y,I,Impact on system,Heading
Escape / abscond,174.1,,,,,,,Escape / abscond,Escape or abscond,"Select yes, no or don't know (escape or abscond)","Select yes, no or don't know",Avoid use of slashes,"Yes
No
Don't know","If Y then the user must complete section S20 questions
234.1
235.1
236.1
237.1",,SC.10,R4.1,,X,,N,Q,Escape or abscond,x
Control issues / disruptive behaviour,175.1,,,,,,,Control issues / disruptive behaviour,Control issues or disruptive behaviour,"Select yes, no or don't know (control issues or disruptive behaviour)","Select yes, no or don't know",Avoid use of slashes,"Yes
No
Don't know","If Y then the user must complete section S21 questions
238.1
239.1
240.1
241.1",,SC.11,R4.2,,X,,N,Q,Control issues / disruptive behaviour,x
Concerns in respect of breach of trust,176.1,,,,,,,Concerns in respect of breach of trust,Concerns in respect of breach of trust,"Select yes, no or don't know (concerns in respect of breach of trust)","Select yes, no or don't know",Consistency,"Yes
No
Don't know","If Y then the user must complete section S22 questions
242.1
243.1
244.1
245.1",,SC.12,R4.3,,X,,N,Q,Breach of trust,x
Risks to other prisoners,177.1,,,,,,,Risks to other prisoners,Risks to other prisoners,"Select yes, no or don't know (risks to other prisoners)","Select yes, no or don't know",Consistency,"Yes
No
Don't know",If Y then section S13 and S14 must be completed unless answer to question 180.1 is 'Yes'.,,SC.13,R4.4,,X,,N,Q,Risks to prisoners,x
"Is there anything else about the offender that leads you to consider that a full analysis should be completed.  If YES, give details below",178.1,,,,,,,"Is there anything else about the offender that leads you to consider that a full analysis should be completed.  If YES, give details below",Is there anything else about the individual that leads you to consider that a full analysis should be completed?,"Select yes, no or don't know (other things to consider regarding whether a full analysis is required)","Select yes, no or don't know",Avoid use of 'offender' which introduces cognitive bias,"Yes
No
Don't know","If Y show question 179.1

If Y then a full ROSH analysis is done.

As long as 180.1 has not been completed then if ‘Yes’ has been answered to question 178.1 then, regardless of what else has been answered on the RoSH Screening, ALL questions on the RoSH Full Analysis are to appear.",,SC.14,R5.1,,X,,N,Q,Other risks,x
Give details,179.1,,,,,,,Give details,Give details,Enter details,Enter details,Consistency,Free text,None,,SC.14,R5.1.t,,,,N,Q,Other risks,x
"In your professional opinion, do you consider it appropriate to not undertake a full risk of harm analysis?",180.1,,,,,,,"In your professional opinion, do you consider it appropriate to not undertake a full risk of harm analysis?","In your professional opinion, is it appropriate to not do a full risk of harm analysis?",Select yes or no (full risk of harm analysis),Select yes or no,Simplicity,Y/N,"If Y then display

AND
user should not complete section S13",,SC.16,"R5.2 , R5.2a",,,,N,Q,Risk analysis and summaries,x
Give details,110.1,,,,,,,,,,,,Free text,None,,,,,,,,,,New
Risk of serious harm to others. Full analysis. Current behaviour.,S13,,,,,,,,,,,,,,,,,,,,,,,
Most recent behaviour / offence indicative of risk of serious harm,181.1,,,,,,,Most recent behaviour / offence indicative of risk of serious harm,Most recent behaviour or offence indicative of risk of serious harm,,,Avoid use of slashes,,None,,,HEADING,,,,Y,I,Risk of serious harm: full analysis,
Offence details (take details from 2.1 as to what s/he did),182.1,,,,,,,Offence details (take details from 2.1 as to what s/he did),Offence details ,Enter offence details,Enter offence details,Simplicity,Free text,None,"If pre-pospulated, additional instruction not required",FA.1,FA1.1,,,,N,Q,Risk of serious harm: full analysis,
Where and when did s/he do it,183.1,,,,,,,Where and when did s/he do it,Where and when did they do it?,Say where and when they did it,Say where and when they did it,Clarity,Free text,None,,FA.2,FA2,,,,N,Q,Risk of serious harm: full analysis,
"How did s/he do it (was there any pre planning, use of weapon, tool etc",184.1,,,,,,,"How did s/he do it (was there any pre planning, use of weapon, tool etc",How did they do it? ,Say how they did it,Say how they did it,Clarity,Free text,None,,FA.3,FA3,,,,N,Q,Risk of serious harm: full analysis,
"Who were the victims (are there concerns about targeting, type, age, race or vulnerability of victim)",185.1,,,,,,,"Who were the victims (are there concerns about targeting, type, age, race or vulnerability of victim)",Who were the victims? ,Enter the victims,Enter the victims,Simplicity,Free text,None,Use detail component for extra information,FA.4,FA4,,,,N,Q,Risk of serious harm: full analysis,
Was anyone else present / involved,186.1,,,,,,,Was anyone else present / involved,Was anyone else present or involved?,Say if anyone else was present or involved,Say if anyone else was present or involved,Avoid use of slashes,Free text,None,,FA.5,FA5,,,,N,Q,Risk of serious harm: full analysis,
Why did s/he do it (motivation and triggers),187.1,,,,,,,Why did s/he do it (motivation and triggers),Why did they do it? ,Say why they did it,Say why they did it,Simplicity,Free text,None,Use detail component for extra information,FA.6,FA6,,,,N,Q,Risk of serious harm: full analysis,
Sources of information,188.1,,,,,,,Sources of information,Sources of information,Enter sources of information,Enter sources of information,Consistency,Free text,None,,FA.7,FA7,,,,N,Q,Risk of serious harm: full analysis,
Risk of serious harm to others. Full analysis. Previous behaviour.,S14,,,,,,,,,,,,,,,,,,,,,,,
Previous behaviour / offence indicative of risk of serious harm,189.1,,,,,,,Previous behaviour / offence indicative of risk of serious harm,Previous behaviour or offence indicative of risk of serious harm,,,Avoid use of slashes,,None,,,HEADING,,,,Y,I,Risk of serious harm: full analysis,
What exactly did s/he do,190.1,,,,,,,What exactly did s/he do,What exactly did they do?,Say exactly what they did,Say exactly what they did,"Clarity
Avoid use of slashes",Free text,None,,FA.8,FA8,,,,N,Q,Risk of serious harm: full analysis,
Where and when did s/he do it,191.1,,,,,,,Where and when did s/he do it,Where and when did they do it?,Say where and when they did it,Say where and when they did it,Clarity,Free text,None,,FA.9,FA9,,,,N,Q,Risk of serious harm: full analysis,
"How did s/he do it (was there any pre planning, use of weapon, tool etc)",192.1,,,,,,,"How did s/he do it (was there any pre planning, use of weapon, tool etc)",How did they do it? ,Say how they did it,Say how they did it,Clarity,Free text,None,Use detail component for extra information,FA.10,FA10,,,,N,Q,Risk of serious harm: full analysis,
"Who were the victims (were there concerns about targeting, type, age, race or vulnerability of victim)",193.1,,,,,,,"Who were the victims (were there concerns about targeting, type, age, race or vulnerability of victim)",Who were the victims? ,Enter the victims,Enter the victims,Clarity,Free text,None,Use detail component for extra information,FA.11,FA11,,,,N,Q,Risk of serious harm: full analysis,
Was anyone else present / involved,194.1,,,,,,,Was anyone else present / involved,Was anyone else present or involved?,Say if anyone else was present or involved,Say if anyone else was present or involved,Avoid use of slashes,Free text,None,,FA.12,FA12,,,,N,Q,Risk of serious harm: full analysis,
Why did s/he do it (motivation and triggers),195.1,,,,,,,Why did s/he do it (motivation and triggers),Why did they do it? ,Say why they dd it,Say why they dd it,Clarity,Free text,None,Use detail component for extra information,FA.13,FA13,,,,N,Q,Risk of serious harm: full analysis,
Sources of information,196.1,,,,,,,Sources of information,Sources of information,Enter sources of information,Enter sources of information,Consistency,Free text,None,,FA.14,FA14,,,,N,Q,Risk of serious harm: full analysis,
Risk of serious harm to children whse identity is known. Full analysis. ,S15,,,,,,,,,,,,,,,,,,,,,,,
Information which could put children at risk if disclosed to the offender must not be recorded in this section,196.2,,,,,,,Information which could put children at risk if disclosed to the offender must not be recorded in this section,,,,,HEADING,,,,HEADING,,,,Y,I,Risk of serious harm: full analysis,
Is this section being completed because the individual: ,197.1,,,,,,,Is this section being completed because the individual: ,Is this section being completed because the individual: ,,,Consistency,,None,All S15 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,,HEADING,,,,Y,I,Risk of serious harm: full analysis,
Presents a risk to identifiable children,198.1,,,,,,,Presents a risk to identifiable children,Presents a risk to identifiable children,Select yes or no (risk to identifiable children),Select yes or no,Consistency,Y/N,Y > 199.1,All S15 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.15,FA15,,,,N,Q,Risk of serious harm: full analysis,
"Give details of relevant factors and situations, if not covered previously",199.1,,,,,,,"Give details of relevant factors and situations, if not covered previously","Give details of relevant factors and situations, if not covered previously",Enter details of relevant factors and situations,Enter details of relevant factors and situations,Consistency,Free text,None,All S15 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.16,FA16,,,,N,Q,Risk of serious harm: full analysis,
Is involved in a situation where there are identifiable children who are considered to be at risk from others,200.1,,,,,,,Is involved in a situation where there are identifiable children who are considered to be at risk from others,Is involved in a situation where there are identifiable children who are considered to be at risk from others,Select yes or no (identifiable children at risk from others),Select yes or no,Consistency,Y/N,Y > 201.1,All S15 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.17,FA17,,,,N,Q,Risk of serious harm: full analysis,
"Explain the offender’s involvement in the family. Say how, when and from whom the child(ren) are believed to be at risk. Specify the nature of the concern.",201.1,,,,,,,"Explain the offender’s involvement in the family. Say how, when and from whom the child(ren) are believed to be at risk. Specify the nature of the concern.","Explain the individual's involvement in the family. Say how, when and from whom any children are believed to be at risk. Specify the nature of the concern.",Explain the individual's involvement in the family,Explain the individual's involvement in the family,Simplicity,Free text,None,All S15 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.17,FA17,,,,N,Q,Risk of serious harm: full analysis,
Details of children at risk of serious harm.,S16,,,,,,,,,,,,,,,,,,,,,,,
Child at Risk of Serious Harm:,202.1,,,,,,,Child at Risk of Serious Harm:,Grey text: Consider carefully whether this information can be recorded safely.,,,Consistency,,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,,HEADING,,,,Y,I,Risk of serious harm: full analysis,
Name,203.1,,,,,,,Name,Name,Enter name,Enter name,Consistency,Free text,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.18,child_at_risk_pivot.name_of_child,,,,N,Q,Risk of serious harm: full analysis,
Age ,204.1,,,,,,,Age ,Age ,Enter age,Enter age,Consistency,Numeric,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.19,child_at_risk_pivot.age_of_child,,,,N,Q,Risk of serious harm: full analysis,
Date of Birth,205.1,,,,,,,Date of Birth,Date of Birth,Enter date of birth,Enter date of birth,Consistency,Date,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.62,child_at_risk_pivot.date_of_birth,,,,N,Q,Risk of serious harm: full analysis,
Gender,206.1,,,,,,,Gender,Gender,Select gender,Select gender,Consistency,Dropdown?,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.20,child_at_risk_pivot.gender_ELM,,,,N,Q,Risk of serious harm: full analysis,
Address (if disclosable),207.1,,,,,,,Address (if disclosable),Address (if disclosable),Enter address,Enter address,Consistency,Free text,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.21,child_at_risk_pivot.address_of_child,,,,N,Q,Risk of serious harm: full analysis,
Currently Registered with Social Services,208.1,,,,,,,Currently Registered with Social Services,Currently Registered with Social Services,Select yes or no,Select yes or no,Consistency,Y/N,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.22,child_at_risk_pivot.curreg_sclsrvs_ind,,,,N,Q,Risk of serious harm: full analysis,
Previously Registered with Social Services,209.1,,,,,,,Previously Registered with Social Services,Previously Registered with Social Services,Select yes or no,Select yes or no,Consistency,Y/N,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.23,child_at_risk_pivot.evr_prv_social_srv_ind,,,,N,Q,Risk of serious harm: full analysis,
"Current category of Child protection registration (ie neglect, physical, sexual or emotional",210.1,,,,,,,"Category of Child protection registration (ie neglect, physical, sexual or emotional",Current category of child protection registration ,Select a current category of child protection registration,Select a currentcategory of child protection registration,Simpler. Checkboxes will be visible.,"Checkboxes:
Neglect
Physical
Sexual
Emotional",None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.24,child_at_risk_reg_pivot_pivot.catg_cpr_ELM for current_previous_ELM = ‘Current’,,,,N,Q,Risk of serious harm: full analysis,
"Previous category of Child protection registration (ie neglect, physical, sexual or emotional",211.1,,,,,,,"Category of Child protection registration (ie neglect, physical, sexual or emotional",Previous category of child protection registration ,Select a previous category of child protection registration,Select a previous category of child protection registration,Simpler. Checkboxes will be visible.,"Checkboxes:
Neglect
Physical
Sexual
Emotional",None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.25,child_at_risk_reg_pivot_pivot.catg_cpr_ELM for current_previous_ELM = ‘Current’,,,,N,Q,Risk of serious harm: full analysis,
Have there been any child protection conferences or ‘looked after children’ reviews,212.1,,,,,,,Have there been any child protection conferences or ‘looked after children’ reviews,Have there been any child protection conferences or ‘looked after children’ reviews?,Select yes or no (child protection conferences or reviews),Selecy yes or no,Consistency,Y/N?,Y > 213.1,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.26,FA26,,,,N,Q,Risk of serious harm: full analysis,
"Give details of child protection conferences, child protection decisions and looked after children review dates – if applicable",213.1,,,,,,,"Give details of child protection conferences, child protection decisions and looked after children review dates – if applicable","Give details of child protection conferences, child protection decisions and looked after children review dates, if applicable","Enter details of child protection conferences, child protection decisions and looked after children review dates","Enter details of child protection conferences, child protection decisions and looked after children review dates",Consistency,Free text,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.26,FA26.t,,,,N,Q,Risk of serious harm: full analysis,
"Local Authority Children’s Services  key worker name, address and telephone number, if applicable",214.1,,,,,,,"Local Authority Children’s Services  key worker name, address and telephone number, if applicable","Local Authority Children’s Services  key worker name, address and telephone number, if applicable","Enter Local Authority Children’s Services  key worker name, address and telephone number,","Enter Local Authority Children’s Services  key worker name, address and telephone number,",Consistency,Free text,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.27,FA27,,,,N,Q,Risk of serious harm: full analysis,
"Other agencies and personnel involved, if applicable",215.1,,,,,,,"Other agencies and personnel involved, if applicable","Other agencies and personnel involved, if applicable",Enter other agencies and personnel involved,Enter other agencies and personnel involved,Consistency,Free text,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.28,FA28,,,,N,Q,Risk of serious harm: full analysis,
Additional information,216.1,,,,,,,Additional information,Additional information,Enter additional information,Enter additional information,Consistency,Free text,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.29,FA29,,,,N,Q,Risk of serious harm: full analysis,
Date child protection issues came to assessor’s attention,217.1,,,,,,,Date child protection issues came to assessor’s attention,Date that child protection issues came to assessor’s attention,Enter date that child protection issues came to assessor’s attention,Enter date that child protection issues came to assessor’s attention,Clarity,Date,None,All S16 questions should be displayed only if any of the answers to 165.1 and 166.1 are ‘Yes’.,FA.30,FA30,,,,N,Q,Risk of serious harm: full analysis,
Risk of serious harm. Full analysis. Suicide and self-harm.,S17,,,,,,,,,,,,,,,,,,,,,,,
Are there any current concerns about suicide,218.1,,,,,,,Are there any current concerns about suicide,Are there any current concerns about suicide?,"Select yes, no or don't know (current concerns about suicide)","Select yes, no or don't know",Consistency,"Yes
No
Don't know",218.1 suicide questions should be displayed only if answer to 169.1 is ‘Yes’,,FA.31,FA31,,,,N,Q,Risk of serious harm: full analysis,
Are there any current concerns about self-harm,219.1,,,,,,,Are there any current concerns about self-harm,Are there any current concerns about self-harm?,"Select yes, no or don't know (current concerns about self-harm)","Select yes, no or don't know",Consistency,"Yes
No
Don't know",219.1 self-harm questions should be displayed only if answer to 170.1 is ‘Yes’,,FA.32,FA32,,,,N,Q,Risk of serious harm: full analysis,
Have there been any concerns about suicide in the past,220.1,,,,,,,Have there been any concerns about suicide in the past,Have there been any concerns about suicide in the past,Enter any past concerns about suicide,Enter any past concerns about suicide,Consistency,Free text,220.1 suicide questions should be displayed only if answer to 169.1 is ‘Yes’,,FA.36,FA36,,,,N,Q,Risk of serious harm: full analysis,
Have there been any concerns about self-harm in the past?,221.1,,,,,,,Have there been any concerns about self-harm in the past?,Have there been any concerns about self-harm in the past?,Enter any past concerns about self-harm,Enter any past concerns about self-harm,Consistency,Y/N,221.1 self-harm questions should be displayed only if answer to 170.1 is ‘Yes’,,FA.37,FA37,,,,N,Q,Risk of serious harm: full analysis,
Coping in custody or a hostel setting.,S18,,,,,,,,,,,,,,,,,,,,,,,
Are there any current concerns about coping in custody,222.1,,,,,,,Are there any current concerns about coping in custody,Are there any current concerns about coping in custody?,"Select yes, no or N/A (current concerns about coping in custody)","Select yes, no or N/A",Consistency,"Yes
No
N/A","Y > 224.1

222.1 coping in custody questions should be displayed only if answer to 171.1 is ‘Yes’",,FA.39,FA39,,,,N,Q,Risk of serious harm: full analysis,
Are there any current concerns about coping in hostel settings,223.1,,,,,,,Are there any current concerns about coping in hostel settings,Are there any current concerns about coping in hostel settings?,"Select yes, no or N/A (current concerns about coping in a hostel setting)","Select yes, no or N/A",Consistency,"Yes
No
N/A","Y > 224.1

223.1 coping in hostel setting questions should be displayed only if answer to 171.1 is ‘Yes’",,FA.40,FA40,,,,N,Q,Risk of serious harm: full analysis,
"Describe circumstances, relevant issues and needs",224.1,,,,,,,"Describe circumstances, relevant issues and needs","Describe circumstances, issues and needs","Describe circumstances, issues and needs","Describe circumstances, issues and needs",Consistency,Free text,None,,FA.41,FA41,,,,N,Q,Risk of serious harm: full analysis,
Are there any previous concerns about coping in custody,225.1,,,,,,,Are there any previous concerns about coping in custody,Are there any previous concerns about coping in custody?,"Select yes, no or N/A (previous concerns about coping in custody)","Select yes, no or N/A",Consistency,"Yes
No
N/A","Y > 227.1

225.1 coping in custody questions should be displayed only if answer to 171.1 is ‘Yes’",,FA.42,FA42,,,,N,Q,Risk of serious harm: full analysis,
Are there any previous concerns about coping in hostel settings,226.1,,,,,,,Are there any previous concerns about coping in hostel settings,Are there any previous concerns about coping in hostel settings?,"Select yes, no or don't know (previous concerns about coping in a hostel setting)","Select yes, no or don't know",Consistency,"Yes
No
Don't know","Y > 227.1

226.1 coping in hostel setting questions should be displayed only if answer to 171.1 is ‘Yes’",,FA.43,FA43,,,,N,Q,Risk of serious harm: full analysis,
"Describe circumstances, relevant issues and needs",227.1,,,,,,,"Describe circumstances, relevant issues and needs","Describe circumstances, issues and needs","Describe circumstances, issues and needs","Describe circumstances, issues and needs",Consistency,Free text,None,,FA.44,FA44,,,,N,Q,Risk of serious harm: full analysis,
Vulnerability,S19,,,,,,,,,,,,,,,,,,,,,,,
"Are there any current concerns about vulnerability (eg victimisation, being bullied, assaulted, exploited",228.1,,,,,,,"Are there any current concerns about vulnerability (eg victimisation, being bullied, assaulted, exploited",Are there any current concerns about vulnerability? ,Select yes or no (current concerns about vulnerability),Select yes or no,Simpler. Can use grey text to add examples.,Y/N,"Y > 229.1

228.1 vulnerability questions should be displayed only if answer to 172.1 is ‘Yes’",Use details component for extra information,FA.45,FA45,,,,N,Q,Risk of serious harm: full analysis,
"Describe circumstances, relevant issues and needs",229.1,,,,,,,"Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs",Consistency,Free text,None,,FA.46,FA45.t,,,,N,Q,Risk of serious harm: full analysis,
"Have there been any previous concerns about vulnerability (eg victimisation, being bullied, assaulted, exploited)",230.1,,,,,,,"Have there been any previous concerns about vulnerability (eg victimisation, being bullied, assaulted, exploited)",Have there been any previous concerns about vulnerability?,"Select yes, no or don't know (previous concerns about vulnerability)","Select yes, no or don't know",Simpler. Can use grey text to add examples.,"Yes
No
Don't know","Y > 231.1

230.1 vulnerability questions should be displayed only if answer to 172.1 is ‘Yes’",Use details component for extra information,FA.47,FA47,,,,N,Q,Risk of serious harm: full analysis,
"Describe circumstances, relevant issues and needs",231.1,,,,,,,"Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs",Consistency,Free text,None,,FA.48,FA47.t,,,,N,Q,Risk of serious harm: full analysis,
"Do any of the above (R8.1 – 8.3) indicate a risk of serious harm to others. If YES complete the risk of serious harm analysis, R6",232.1,,,,,,,"Do any of the above (R8.1 – 8.3) indicate a risk of serious harm to others. If YES complete the risk of serious harm analysis, R6","Do any of the questions in sections 16, 17 or 18 indicate a risk of serious harm to others? ",Select yes or no (risk of serious harm to others),Select yes or no,Simpler,Y/N,"Y > 233.1

If Y then S13 and S14 are displayed / available - the business logic is to instruct the user to complete S13 and S14",,FA.49,FA49,,,,N,Q,Risk of serious harm: full analysis,
"Describe circumstances, relevant issues and needs",233.1,,,,,,,"Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs","Describe circumstances, relevant issues and needs",Consistency,Free text,None,,FA.50,FA49.t,,,,N,Q,Risk of serious harm: full analysis,
Escape and abscond,S20,,,,,,,,,,,,,,,,,,,,,,,
Are there any current concerns about escape and abscond,234.1,,,,,,,Are there any current concerns about escape and abscond,Are there any current concerns about escape and abscond?,Select yes or no (current concerns about escape or abscond),Select yes or no,Consistency,Y/N,"Y > 235.1

234.1 escape & abscond questions should be displayed only if answer to 174.1 is ‘Yes’",,FA.51,FA51,,,,N,Q,Risk of serious harm: full analysis,
